iter	Passed	Remaining
0	1	1873
1	3	1751
2	5	1977
3	7	1863
4	9	1795
5	10	1742
6	12	1712
7	13	1690
8	15	1678
9	16	1662
10	18	1651
11	20	1651
12	21	1639
13	23	1629
14	24	1623
15	26	1621
16	28	1620
17	29	1613
18	31	1609
19	32	1602
20	34	1607
21	36	1605
22	37	1602
23	39	1601
24	40	1598
25	42	1594
26	44	1590
27	45	1584
28	47	1581
29	49	1588
30	50	1585
31	52	1582
32	53	1580
33	55	1577
34	57	1574
35	58	1571
36	60	1567
37	61	1564
38	63	1565
39	65	1561
40	66	1558
41	68	1555
42	69	1552
43	71	1549
44	72	1547
45	74	1544
46	75	1540
47	77	1541
48	79	1538
49	80	1534
50	82	1532
51	83	1528
52	85	1526
53	86	1523
54	88	1521
55	90	1518
56	91	1518
57	93	1516
58	94	1513
59	96	1511
60	98	1508
61	99	1505
62	101	1503
63	102	1500
64	104	1499
65	106	1500
66	107	1498
67	109	1496
68	110	1494
69	112	1494
70	114	1493
71	115	1492
72	117	1490
73	118	1488
74	120	1488
75	122	1488
76	123	1486
77	125	1485
78	127	1483
79	128	1481
80	130	1479
81	132	1478
82	133	1477
83	135	1475
84	137	1475
85	138	1473
86	140	1471
87	141	1468
88	143	1466
89	144	1464
90	146	1462
91	148	1464
92	150	1463
93	151	1462
94	153	1460
95	154	1459
96	156	1457
97	158	1455
98	159	1454
99	161	1453
100	163	1452
101	164	1451
102	166	1450
103	168	1449
104	169	1447
105	171	1445
106	173	1444
107	174	1442
108	176	1442
109	178	1442
110	180	1443
111	182	1444
112	183	1443
113	185	1441
114	187	1439
115	188	1437
116	190	1438
117	192	1437
118	193	1435
119	195	1434
120	197	1431
121	198	1430
122	200	1429
123	202	1428
124	204	1429
125	205	1428
126	207	1427
127	210	1430
128	211	1429
129	213	1426
130	214	1424
131	216	1422
132	218	1423
133	220	1423
134	221	1421
135	223	1420
136	225	1418
137	227	1418
138	228	1416
139	230	1417
140	232	1416
141	234	1414
142	235	1413
143	237	1412
144	239	1413
145	241	1412
146	243	1410
147	244	1407
148	246	1405
149	248	1405
150	249	1403
151	251	1401
152	252	1399
153	254	1396
154	256	1397
155	257	1395
156	259	1393
157	261	1391
158	262	1389
159	264	1387
160	265	1385
161	267	1383
162	269	1382
163	270	1379
164	272	1377
165	273	1375
166	275	1374
167	277	1372
168	278	1370
169	280	1368
170	281	1366
171	283	1364
172	285	1362
173	286	1360
174	288	1358
175	289	1356
176	291	1354
177	293	1353
178	294	1351
179	296	1349
180	297	1347
181	299	1345
182	301	1343
183	302	1342
184	304	1341
185	306	1339
186	307	1337
